id,label,timeset,weight,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality
353,6205,"<[50.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.21342920542801058,0.21802792495586318,103848.0,0.0,0.1080680874719109
354,7205,"<[50.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.21342920542801058,0.21802792495586318,135434.0,0.0,0.1464164317563235
355,5205,"<[50.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.21340188590689935,0.21799460161953074,148959.0,0.005494505632668734,0.16601841527385394
357,1205,"<[50.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.21342920542801058,0.21802792495586318,141762.0,0.0,0.15453555312434364
360,3065,"<[51.0, Infinity]>",1,25,7,32,25.0,7.0,32.0,5.0,0.21343831348952333,0.21803792195676266,129176.0,0.0,0.11235022429046812
362,6065,"<[51.0, Infinity]>",1,49,7,56,49.0,7.0,56.0,5.0,0.21343831348952333,0.21803792195676266,176408.0,0.0,0.1620086543840266
372,3015,"<[53.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.2134246516887495,0.21802292645541307,84408.0,0.0,0.09399903962542638
376,2015,"<[53.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.2134246516887495,0.21802292645541307,93334.0,0.0,0.10546026063912374
378,4015,"<[53.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.2134246516887495,0.21802292645541307,135174.0,0.0,0.1568693802232854
379,0515,"<[54.0, Infinity]>",1,49,7,56,49.0,7.0,56.0,5.0,0.21331542021197195,0.21789296544371692,176523.0,0.0,0.18615694216168202
380,3515,"<[54.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.21331542021197195,0.21789296544371692,146964.0,0.0,0.15294368100954758
383,7515,"<[54.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.21331542021197195,0.21789296544371692,125024.0,0.0,0.12933972798702625
386,3560,"<[55.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.2134064386747168,0.21800293245361377,123317.0,0.0,0.1407095578995199
388,6560,"<[55.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134064386747168,0.21800293245361377,162761.0,0.0,0.1908437346282152
389,7560,"<[55.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.2134064386747168,0.21800293245361377,110190.0,0.0,0.12322266643201221
390,2560,"<[55.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134064386747168,0.21800293245361377,168546.0,0.0,0.19641744970372435
391,1560,"<[55.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134064386747168,0.21800293245361377,160797.0,0.0,0.1801167864274084
392,0560,"<[55.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21338822876890587,0.21797960611818107,141571.0,7.11237546056509E-4,0.16780575749664034
393,763,"<[56.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.21338822876890587,0.21797627378454815,513497.0,4.081632650922984E-4,0.9237599197976604
421,3540,"<[60.0, Infinity]>",1,25,7,32,25.0,7.0,32.0,5.0,0.21344742232843975,0.21804791895766243,123934.0,0.0,0.13459249634450585
424,7540,"<[60.0, Infinity]>",1,1,7,8,1.0,7.0,8.0,5.0,0.21344742232843975,0.21804791895766243,76669.0,0.0,0.09263735865694267
426,1540,"<[60.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.21344742232843975,0.21804791895766243,163367.0,0.0,0.17399972487239382
428,3505,"<[61.0, Infinity]>",1,19,7,26,19.0,7.0,26.0,5.0,0.21330632263567545,0.21787963610918387,107675.0,0.0,0.12847543478949194
430,7505,"<[61.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21330632263567545,0.21787963610918387,108649.0,0.0,0.12322266643201206
432,1505,"<[61.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.21330632263567545,0.21787963610918387,152650.0,0.0,0.17399972487239396
438,376,"<[62.0, Infinity]>",1,49,7,56,49.0,7.0,56.0,5.0,0.2133700219705211,0.21795294744911525,470592.0,3.246753185521811E-4,0.9060351550125859
449,2464,"<[64.0, Infinity]>",1,25,7,32,25.0,7.0,32.0,5.0,0.21330632263567545,0.21787963610918415,131251.0,0.0,0.14923118479449426
455,1464,"<[64.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.21330632263567545,0.21787963610918415,159432.0,0.0,0.17876592602683056
456,2104,"<[65.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21341099163679808,0.21800793095406387,109255.0,0.0,0.12992850685917923
457,3104,"<[65.0, Infinity]>",1,19,7,26,19.0,7.0,26.0,5.0,0.21341099163679808,0.21800793095406387,109804.0,0.0,0.1411853045346567
458,4104,"<[65.0, Infinity]>",1,19,7,26,19.0,7.0,26.0,5.0,0.21339733333333333,0.21798960311908103,124988.0,0.0015384615398943424,0.1627485684607308
459,5104,"<[65.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21341099163679808,0.21800793095406387,161273.0,0.0,0.1968415963664915
460,6104,"<[65.0, Infinity]>",1,25,7,32,25.0,7.0,32.0,5.0,0.21341099163679808,0.21800793095406387,139670.0,0.0,0.17408128368131953
463,3520,"<[66.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134155447931557,0.2180095971208804,118654.0,0.0,0.14682661945453346
464,4520,"<[66.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134155447931557,0.2180095971208804,161433.0,0.0,0.19674921698965994
465,6520,"<[66.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134155447931557,0.2180095971208804,148963.0,0.0,0.1847266730732014
466,7520,"<[66.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134155447931557,0.2180095971208804,106018.0,0.0,0.12933972798702617
467,2520,"<[66.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134155447931557,0.2180095971208804,158399.0,0.0,0.2025345112587383
468,1520,"<[66.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134155447931557,0.2180095971208804,140080.0,0.0,0.1739997248723943
